east,north,height,cat
8.946292,39.3458878,18.32593237,1
8.94628892,39.34589722,18.3013327,1
8.94628583,39.34590663,18.27537364,1
8.94628275,39.34591605,18.2480552,1
8.94627966,39.34592546,18.21937736,1
8.94627658,39.34593488,18.18934014,1
8.9462735,39.3459443,18.15794354,1
8.94627041,39.34595371,18.12518754,1
8.94626733,39.34596313,18.09107216,1
8.94626424,39.34597254,18.05559739,1
8.94626116,39.34598196,18.01876324,1
8.94625808,39.34599138,18.02784004,1
8.94625499,39.34600079,18.08304709,1
8.94625191,39.34601021,18.13825415,1
8.94624882,39.34601962,18.19346121,1
8.94624574,39.34602904,18.24866826,1
8.94624266,39.34603846,18.30387532,1
8.94623957,39.34604787,18.35908237,1
8.94623649,39.34605729,18.41428943,1
8.9462334,39.3460667,18.46949649,1
8.94623032,39.34607612,18.52470354,1
8.94622724,39.34608554,18.5799106,1
8.94622415,39.34609495,18.63511765,1
8.94622107,39.34610437,18.69032471,1
8.94621798,39.34611378,18.74553177,1
8.9462149,39.3461232,18.80073882,1
8.9462149,39.3461232,18.80073882,2
8.94621168,39.34613261,18.85590093,2
8.94620846,39.34614202,18.91106303,2
8.94620524,39.34615143,18.96622514,2
8.94620202,39.34616083,19,2
8.9461988,39.34617024,19,2
8.94619558,39.34617965,19,2
8.94619236,39.34618906,19,2
8.94618914,39.34619847,19,2
8.94618592,39.34620787,19,2
8.9461827,39.34621728,19,2
8.94617948,39.34622669,19,2
8.94617626,39.3462361,19,2
8.94617304,39.34624551,19,2
8.94616982,39.34625492,19,2
8.9461666,39.34626432,19,2
8.94616338,39.34627373,19,2
8.94616016,39.34628314,19,2
8.94615694,39.34629255,19,2
8.94615372,39.34630196,19,2
8.9461505,39.34631137,19,2
8.94614728,39.34632078,19,2
8.94614406,39.34633018,19,2
8.94614084,39.34633959,19,2
8.94613762,39.346349,19,2
8.9461344,39.34635841,19,2
8.94613118,39.34636782,19,2
8.94612796,39.34637722,19,2
8.94612474,39.34638663,19,2
8.94612152,39.34639604,19,2
8.9461183,39.34640545,19,2
8.94611508,39.34641486,19,2
8.94611186,39.34642427,19,2
8.94610864,39.34643368,19,2
8.94610542,39.34644308,19,2
8.9461022,39.34645249,19,2
8.94609898,39.3464619,19,2
8.94609576,39.34647131,19,2
8.94609254,39.34648072,19,2
8.94608932,39.34649013,19,2
8.94608611,39.34649953,19,2
8.94608289,39.34650894,19,2
8.94607967,39.34651835,19,2
8.94607645,39.34652776,19,2
8.94607323,39.34653717,19,2
8.94607001,39.34654657,19,2
8.94606679,39.34655598,19,2
8.94606357,39.34656539,19,2
8.94606035,39.3465748,19,2
8.94605713,39.34658421,19,2
8.94605391,39.34659362,19,2
8.94605069,39.34660303,19,2
8.94604747,39.34661243,19,2
8.94604425,39.34662184,19,2
8.94604103,39.34663125,19,2
8.94603781,39.34664066,19,2
8.94603459,39.34665007,19,2
8.94603137,39.34665948,19,2
8.94602815,39.34666888,19,2
8.94602493,39.34667829,19,2
8.94602171,39.3466877,19,2
8.94601849,39.34669711,19,2
8.94601527,39.34670652,19,2
8.94601205,39.34671592,19,2
8.94600883,39.34672533,19,2
8.94600561,39.34673474,19,2
8.94600239,39.34674415,19,2
8.94599917,39.34675356,19,2
8.94599595,39.34676297,19,2
8.94599273,39.34677238,19,2
8.94598951,39.34678178,19,2
8.94598629,39.34679119,19,2
8.94598307,39.3468006,19,2
8.94597985,39.34681001,19,2
8.94597663,39.34681942,19,2
8.94597341,39.34682883,19,2
8.94597019,39.34683823,19,2
8.94596697,39.34684764,19,2
8.94596375,39.34685705,19,2
8.94596053,39.34686646,19,2
8.94595731,39.34687587,19,2
8.94595409,39.34688527,19,2
8.94595087,39.34689468,19,2
8.94594765,39.34690409,19,2
8.94594443,39.3469135,19,2
8.94594121,39.34692291,19,2
8.94593799,39.34693232,19,2
8.94593477,39.34694173,19,2
8.94593155,39.34695113,19,2
8.94592833,39.34696054,19,2
8.94592511,39.34696995,19,2
8.94592189,39.34697936,19,2
8.94591867,39.34698877,19,2
8.94591545,39.34699818,19,2
8.94591223,39.34700758,19,2
8.94590901,39.34701699,19.00376145,2
8.94590579,39.3470264,19.01004297,2
8.94590257,39.34703581,19.0177426,2
8.94589935,39.34704522,19.02686036,2
8.94589613,39.34705462,19.03739623,2
8.94589291,39.34706403,19.04935023,2
8.94588969,39.34707344,19.06272236,2
8.94588647,39.34708285,19.0775126,2
8.94588325,39.34709226,19.09372096,2
8.94588003,39.34710167,19.11134745,2
8.94587681,39.34711108,19.13039206,2
8.94587359,39.34712048,19.15085479,2
8.94587037,39.34712989,19.17273565,2
8.94586715,39.3471393,19.19603462,2
8.94586393,39.34714871,19.22075172,2
8.94586071,39.34715812,19.24688694,2
8.94585749,39.34716753,19.27444028,2
8.94585427,39.34717693,19.30341174,2
8.94585105,39.34718634,19.32280755,2
8.94584783,39.34719575,19.33566169,2
8.94584461,39.34720516,19.34851582,2
8.94584139,39.34721457,19.36136995,2
8.94583818,39.34722397,19.37422408,2
8.94583496,39.34723338,19.38707821,2
8.94583174,39.34724279,19.39993234,2
8.94582852,39.3472522,19.41278647,2
8.9458253,39.34726161,19.42564061,2
8.94582208,39.34727102,19.43849474,2
8.94581886,39.34728043,19.45134887,2
8.94581564,39.34728983,19.464203,2
8.94581242,39.34729924,19.47705713,2
8.9458092,39.34730865,19.48991126,2
8.94580598,39.34731806,19.5027654,2
8.94580276,39.34732747,19.51561953,2
8.94579954,39.34733688,19.52847366,2
8.94579632,39.34734628,19.54132779,2
8.9457931,39.34735569,19.55418192,2
8.94578988,39.3473651,19.56703605,2
8.94578666,39.34737451,19.57989019,2
8.94578344,39.34738392,19.59274432,2
8.94578022,39.34739332,19.60559845,2
8.945777,39.34740273,19.61845258,2
8.94577378,39.34741214,19.63130671,2
8.94577056,39.34742155,19.64416084,2
8.94576734,39.34743096,19.65701498,2
8.94576412,39.34744037,19.66986911,2
8.9457609,39.34744978,19.68272324,2
8.94575768,39.34745918,19.69557737,2
8.94575446,39.34746859,19.7084315,2
8.94575124,39.347478,19.72128563,2
8.94574802,39.34748741,19.73413977,2
8.9457448,39.34749682,19.7469939,2
8.94574158,39.34750623,19.75984803,2
8.94573836,39.34751563,19.77270216,2
8.94573514,39.34752504,19.78982212,2
8.94573192,39.34753445,19.81354066,2
8.9457287,39.34754386,19.83584107,2
8.94572548,39.34755327,19.85672336,2
8.94572226,39.34756267,19.87618753,2
8.94571904,39.34757208,19.89423358,2
8.94571582,39.34758149,19.91086151,2
8.9457126,39.3475909,19.92607131,2
8.94570937,39.34760035,19.93990411,2
8.94570615,39.3476098,19.95230964,2
8.94570292,39.34761925,19.96328792,2
8.9456997,39.3476287,19.97283895,2
8.94569647,39.34763815,19.98096271,2
8.94569324,39.3476476,19.98765922,2
8.94569002,39.34765705,19.99292848,2
8.94568679,39.3476665,19.99677047,2
8.94568356,39.34767595,19.99918521,2
8.94568034,39.3476854,20,2
8.94567711,39.34769485,20,2
8.94567389,39.3477043,20,2
8.94567066,39.34771375,20,2
8.94566743,39.3477232,20,2
8.94566421,39.34773266,20,2
8.94566098,39.34774211,20,2
8.94565775,39.34775156,20,2
8.94565453,39.34776101,20,2
8.9456513,39.34777046,20,2
8.94564808,39.34777991,20,2
8.94564485,39.34778936,20,2
8.94564162,39.34779881,20,2
8.9456384,39.34780826,20,2
8.94563517,39.34781771,20,2
8.94563194,39.34782716,20,2
8.94562872,39.34783661,20,2
8.94562549,39.34784606,20,2
8.94562227,39.34785551,20,2
8.94561904,39.34786496,20,2
8.94561581,39.34787441,20,2
8.94561259,39.34788386,20,2
8.94560936,39.34789331,20,2
8.94560614,39.34790276,20,2
8.94560291,39.34791221,20,2
8.94559968,39.34792166,20,2
8.94559646,39.34793111,20,2
8.94559323,39.34794056,20,2
8.94559,39.34795001,20,2
8.94558678,39.34795946,20,2
8.94558355,39.34796891,20,2
8.94558033,39.34797836,20,2
8.9455771,39.34798781,20,2
8.94557387,39.34799726,20,2
8.94557065,39.34800672,20,2
8.94556742,39.34801617,20,2
8.94556419,39.34802562,20,2
8.94556097,39.34803507,20,2
8.94555774,39.34804452,20,2
8.94555452,39.34805397,20,2
8.94555129,39.34806342,20,2
8.94554806,39.34807287,20,2
8.94554484,39.34808232,20,2
8.94554161,39.34809177,20,2
8.94553838,39.34810122,20,2
8.94553516,39.34811067,20,2
8.94553193,39.34812012,20,2
8.94552871,39.34812957,20,2
8.94552548,39.34813902,20,2
8.94552225,39.34814847,20,2
8.94551903,39.34815792,20,2
8.9455158,39.34816737,20,2
8.94551258,39.34817682,20,2
8.94550935,39.34818627,20,2
8.94550612,39.34819572,20,2
8.9455029,39.34820517,20,2
8.94549967,39.34821462,20,2
8.94549644,39.34822407,20,2
8.94549322,39.34823352,20,2
8.94548999,39.34824297,20,2
8.94548677,39.34825242,20,2
8.94548354,39.34826187,20,2
8.94548031,39.34827132,20,2
8.94547709,39.34828078,20,2
8.94547386,39.34829023,20,2
8.94547063,39.34829968,20,2
8.94546741,39.34830913,20,2
8.94546418,39.34831858,20,2
8.94546096,39.34832803,20,2
8.94545773,39.34833748,20,2
8.9454545,39.34834693,20,2
8.94545128,39.34835638,20,2
8.94544805,39.34836583,20,2
8.94544482,39.34837528,20,2
8.9454416,39.34838473,20,2
8.94543837,39.34839418,20,2
8.94543515,39.34840363,20,2
8.94543192,39.34841308,20,2
8.94542869,39.34842253,20,2
8.94542547,39.34843198,20,2
8.94542224,39.34844143,20,2
8.94541902,39.34845088,20,2
8.94541579,39.34846033,20,2
8.94541256,39.34846978,20,2
8.94540934,39.34847923,20,2
8.94540611,39.34848868,20,2
8.94540288,39.34849813,20,2
8.94539966,39.34850758,20,2
8.94539643,39.34851703,20,2
8.94539321,39.34852648,20,2
8.94538998,39.34853593,20,2
8.94538675,39.34854538,20,2
8.94538353,39.34855484,20,2
8.9453803,39.34856429,20,2
8.94537707,39.34857374,20,2
8.94537385,39.34858319,20,2
8.94537062,39.34859264,20,2
8.9453674,39.34860209,20,2
8.94536417,39.34861154,20,2
8.94536094,39.34862099,20,2
8.94535772,39.34863044,20,2
8.94535449,39.34863989,20,2
8.94535126,39.34864934,20,2
8.94534804,39.34865879,20,2
8.94534481,39.34866824,20,2
8.94534159,39.34867769,20,2
8.94533836,39.34868714,20,2
8.94533513,39.34869659,20,2
8.94533191,39.34870604,20,2
8.94532868,39.34871549,20,2
8.94532546,39.34872494,20,2
8.94532223,39.34873439,20,2
8.945319,39.34874384,20,2
8.94531578,39.34875329,20,2
8.94531255,39.34876274,20,2
8.94530932,39.34877219,20,2
8.9453061,39.34878164,20,2
8.94530287,39.34879109,20,2
8.94529965,39.34880054,20,2
8.94529642,39.34880999,20,2
8.94529319,39.34881944,20,2
8.94528997,39.3488289,20,2
8.94528674,39.34883835,20,2
8.94528351,39.3488478,20,2
8.94528029,39.34885725,20,2
8.94527706,39.3488667,20,2
8.94527384,39.34887615,20,2
8.94527061,39.3488856,20,2
8.94526738,39.34889505,20,2
8.94526416,39.3489045,20,2
8.94526093,39.34891395,20,2
8.9452577,39.3489234,20,2
8.94525448,39.34893285,20,2
8.94525125,39.3489423,20,2
8.94524803,39.34895175,20,2
